Zaman damgası,Ders Seç,Dersi geçmek ne kadar kolay?,Ders mesleki açıdan gerekli mi?
02.02.2024 17:17:27,Algoritma Analizi,3.0,10.0
02.02.2024 17:17:33,Ayrık Matematik,9.0,7.0
02.02.2024 17:18:09,Mühendisler için Yarıiletken Fiziği,6.0,1.0
02.02.2024 17:27:01,Bilgiye Erişim Ve Arama Motorları,8.0,5.0
02.02.2024 17:29:04,Lojik Devreler,8.0,9.0
02.02.2024 17:31:50,Bilgisayar Mühendisleri İçin Diferansiyel Denklemler,2.0,1.0
02.02.2024 17:32:15,Bilgisayar Mühendisleri İçin Diferansiyel Denklemler,2.0,2.0
02.02.2024 17:40:09,Gömülü Sistemler,7.0,7.0
02.02.2024 17:43:33,Bilgisayar Bilimlerine Giriş,5.0,10.0
02.02.2024 17:48:11,Devre Teorisi ve Elektronik Devreler,9.0,3.0
02.02.2024 17:48:23,Ağ Teknolojileri,7.0,6.0
02.02.2024 17:48:34,Algoritma Analizi,3.0,9.0
02.02.2024 17:48:47,Alt Seviye Programlama,4.0,4.0
02.02.2024 17:49:12,Mobil Programlamaya Giriş,5.0,6.0
02.02.2024 17:52:11,Mikroişlemci Sistemleri ve Assembly Dili,1.0,5.0
02.02.2024 17:52:56,Ağ Teknolojileri,7.0,10.0
03.02.2024 20:14:28,Bilgisayar Mühendisleri İçin Diferansiyel Denklemler,8.0,4.0
09.02.2024 14:14:25,Alt Seviye Programlama,3.0,1.0
09.02.2024 14:14:35,Bilgiye Erişim Ve Arama Motorları,10.0,7.0
09.02.2024 14:15:05,Bilişim Sistemleri Güvenliği,3.0,2.0
09.02.2024 14:15:19,Biyoenformatiğe Giriş,6.0,3.0
09.02.2024 14:15:28,Çok Displinli Tasarım Projesi,9.0,6.0
12.02.2024 15:31:55,Yazılım Kalitesi ve Test Teknikleri,8.0,4.0
12.02.2024 15:32:14,Bilgisayarla Görme,7.0,7.0
12.02.2024 15:55:09,Veri Sıkıştırma,9.0,10.0
12.02.2024 16:07:14,Atatürk İlkeleri ve İnkılâp Tarihi 1,10.0,1.0
13.02.2024 21:27:21,Algoritma Analizi,4.0,5.0
13.02.2024 21:27:55,Bilgiye Erişim Ve Arama Motorları,7.0,6.0
13.02.2024 21:28:21,Devre Teorisi,3.0,4.0
13.02.2024 21:28:44,Bilgisayar Organizasyonu,7.0,8.0
13.02.2024 21:29:02,Bilgisayar Donanımı,7.0,7.0
13.02.2024 21:29:17,Ayrık Matematik,8.0,4.0
14.02.2024 09:54:23,İstatistiksel Veri Analizi,10.0,1.0
14.02.2024 09:55:13,İstatistiksel Veri Analizi,9.0,1.0
14.02.2024 14:45:37,Çok Displinli Tasarım Projesi,10.0,2.0
16.02.2024 10:11:04,Veri Sıkıştırma,10.0,10.0
16.02.2024 10:56:15,Veri Madenciliği ve Bilgi Keşfi,5.0,9.0
16.02.2024 11:15:52,Veri Tabanı Sistemlerinin Gerçeklenmesi,2.0,5.0
16.02.2024 19:48:31,Ağ Teknolojileri,4.0,10.0
16.02.2024 19:48:48,Algoritma Analizi,5.0,10.0
16.02.2024 19:49:03,Alt Seviye Programlama,5.0,8.0
16.02.2024 19:49:14,Atatürk İlkeleri ve İnkılâp Tarihi 1,5.0,1.0
16.02.2024 19:49:23,Atatürk İlkeleri ve İnkılâp Tarihi 2,5.0,1.0
16.02.2024 19:50:05,Ayrık Matematik,7.0,6.0
16.02.2024 19:50:50,Bilgisayar Bilimlerine Giriş,3.0,10.0
16.02.2024 19:51:05,Bilgisayar Donanımı,4.0,5.0
16.02.2024 19:51:24,Bilgisayar Mühendisleri İçin Diferansiyel Denklemler,7.0,9.0
16.02.2024 19:51:57,Bilgisayar Projesi,5.0,10.0
16.02.2024 19:52:08,Bilgiye Erişim Ve Arama Motorları,9.0,5.0
16.02.2024 19:52:38,Biyoenformatiğe Giriş,6.0,2.0
16.02.2024 19:52:52,Çok Displinli Tasarım Projesi,10.0,8.0
16.02.2024 19:53:08,Devre Teorisi,1.0,7.0
16.02.2024 19:53:26,Elektronik Devreler,5.0,8.0
16.02.2024 19:53:49,Felsefeye Giriş,3.0,1.0
16.02.2024 20:08:50,Fizik 1,1.0,1.0
16.02.2024 20:09:09,Hesaplama Kuramı,6.0,3.0
16.02.2024 20:09:35,İstatistik ve Olasılık Hesapları,3.0,9.0
16.02.2024 20:09:55,İşletim Sistemleri,2.0,10.0
16.02.2024 20:10:10,İş Sağlığı ve Güvenliği 1,5.0,1.0
16.02.2024 20:10:18,İş Sağlığı ve Güvenliği 2,5.0,1.0
16.02.2024 20:10:41,Lineer Cebir,7.0,9.0
16.02.2024 20:10:59,Lojik Devreler,6.0,10.0
16.02.2024 20:11:15,Matematik 1,5.0,10.0
16.02.2024 20:11:22,Matematik 2,5.0,10.0
16.02.2024 20:11:33,Mesleki Hukuk ve Etik,5.0,3.0
16.02.2024 20:12:06,Mikroişlemci Sistemleri,5.0,9.0
16.02.2024 20:12:24,Mühendisler için Yarıiletken Fiziği,4.0,8.0
16.02.2024 20:12:44,Nesneye Yönelik Programlama,5.0,10.0
16.02.2024 20:13:05,Oyun Geliştirmeye Giriş,9.0,5.0
16.02.2024 20:13:22,Sayısal Analiz,8.0,8.0
16.02.2024 20:13:38,Sistem Analizi ve Tasarımı,8.0,8.0
16.02.2024 20:13:58,Türkçe 1,4.0,1.0
16.02.2024 20:14:09,Türkçe 2,4.0,1.0
16.02.2024 20:14:38,Veri Madenciliğine Giriş,5.0,7.0
16.02.2024 20:14:56,Veritabanı Yönetimi,5.0,10.0
